,objective_name,solver_name,data_name,idx_rep,stop_val,time,objective_value,objective_sparsity,objective_opt_violation,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy
28,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,42,0.007294669281691313,0.16255502302130231,16,0.0006809244441153828,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
29,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,63,0.010652270168066025,0.16236786828864866,16,0.0023014686629270736,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
30,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,94,0.01566234603524208,0.16170161931798058,18,0.003010799893774216,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
31,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,141,0.023330449126660824,0.1549338179610596,14,0.0003444767175083833,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
32,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,211,0.034501282032579184,0.15493239763959166,14,1.2525865663286362e-07,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
33,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,316,0.0515447580255568,0.15493239763945174,14,7.073105542126027e-13,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
34,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,474,0.07560830609872937,0.15493239763945174,14,3.20979801877515e-16,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
35,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,853,0.13588548684492707,0.15493239763945174,14,3.20979801877515e-16,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
36,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,0,0.00038907676935195923,0.5,0,0.616876185483871,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
37,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,1,0.0006054770201444626,0.27721497527464056,88,0.09727632909889602,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
38,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,2,0.0007635471411049366,0.23252367880758512,59,0.0755897901588746,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
39,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,3,0.0009364518336951733,0.19799442505250195,39,0.06026394688865225,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
40,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,4,0.0011056889779865742,0.18262568312548497,34,0.0662437320333675,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
41,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,6,0.0014314460568130016,0.1700038549568516,23,0.01960014040069826,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
42,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,9,0.002085450105369091,0.16745907024324908,18,0.012354938079042959,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
43,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,13,0.002551538869738579,0.16636549455946198,16,0.006051866272498173,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
44,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,19,0.0035398700274527073,0.1635049232608684,20,0.009574005059265067,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
45,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,28,0.00505052600055933,0.16261812930002392,17,0.0022684044373353614,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
46,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,42,0.007253298070281744,0.16255502302130231,16,0.0006809244441153828,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
47,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,63,0.01061769388616085,0.16236786828864866,16,0.0023014686629270736,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
48,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,94,0.015595248900353909,0.16170161931798058,18,0.003010799893774216,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
49,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,141,0.023328326176851988,0.1549338179610596,14,0.0003444767175083833,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
50,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,211,0.034307554829865694,0.15493239763959166,14,1.2525865663286362e-07,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
51,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,316,0.05143460864201188,0.15493239763945174,14,7.073105542126027e-13,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
52,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,474,0.07636029692366719,0.15493239763945174,14,3.20979801877515e-16,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
53,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],2,853,0.13582460209727287,0.15493239763945174,14,3.20979801877515e-16,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
